manufacturerNumber,id,manufacturer,brand
RH7-00001,AVpf3txeLJeJML43FN82,Microsoft,Microsoft
BT-210F,AVpgMuGwLJeJML43KY_c,Boytone,Boytone
VLF410B1,AVphzgbJLJeJML43fA0o,,Sanus
984-000911,AWIm0C3TYSSHbkXwx3S6,,Ultimate Ears
LP35185,AVpfnp8HLJeJML43AmVi,Lowepro,Lowepro
CMSA8GX3M2A1066C7,AV1YFmcQglJLPUi8IGd1,,Corsair
IBT33BC,AVpgF1BOilAPnD_xnTsK,iHome,"Sdi Technologies, Inc."
Mifi6620L,AVpiUMISilAPnD_xC-hu,Novatel,Verizon Wireless
KDX320BTS,AVpfIjJULJeJML433Ga2,,JVC
GX862,AVphRsH11cnluZ0-Agzr,,JBL
45W SLIM AC ADAPTER - 88801419,AVpf24SVLJeJML43FAIX,Lenovo Idea,Lenovo
SXEZR1V1,AVzNjwZZ-jtxr-f3yc_y,Siriusxm,Siriusxm
MD16GK2D4240015AB,AVpf2pgLilAPnD_xjed4,,Pny
SB375-100,AVpg8i6NilAPnD_xzQdN,Slingbox,Sling Media
SRSHG1/BLK,AVpfKRGKLJeJML433rPX,Sony,Sony
WR-120C,AVpgswjcLJeJML43Ro-G,Midland,Midland
DVM60PRR6C,AVpfjP9uilAPnD_xdy6-,Sony,Sony
SRSZR7,AVpfgGwSLJeJML43-VCn,,Sony
PH3300U-1I72,AV13V_i2glJLPUi8PFgb,,Toshiba
GW3-10,AVpiEA1f1cnluZ0-JaoG,,Power Acoustik
EM-JH101-BK,AVpivePGilAPnD_xHH0l,House of Marley,House of Marley
CRX-332BL,AVpio2wSilAPnD_xGGln,Yamaha,Yamaha
TREMOR,AVpfVJXu1cnluZ0-iwTT,,DreamWave
Alpine,AVpe7vI_ilAPnD_xRMq2,Glengery,Glengery
XPS8920-7529SLV-PUS,AVwvGPRyU2_QcyX9R3FW,,Dell
HP-AF32-GW-MEE,AVpftC_FLJeJML43CLs8,,MEE audio
UN40M5300AFXZA,AV4GShTMvKc47QAVrFsX,,Samsung
NS-SP1800BL,AVphUeKeilAPnD_x3-Be,YAMAHA,Yamaha
720960-1100,AVpf0Nyo1cnluZ0-rzhu,Bose,Bose
910-004797,AVqlHaLknnc1JgDc3m5y,,Logitech
MEXM100BT,AVpjedgc1cnluZ0-W4NI,Sony,Sony
SRSXB30/BLK,AVsRhL-fQMlgsOJE6zvB,,Sony
LBTGPX555,AVpfuJ4pilAPnD_xhDyM,Sony,Sony
NS-IW480CWH,AVpg59zyilAPnD_xyv3y,Yamaha,Yamaha
SCOUT66,AVpgGPyq1cnluZ0-wbTJ,Motorola,Motorola
NECB,AVpjI0B41cnluZ0-T5TH,5 Years,Definitive Technology
SPE-6000,AVpiFC-LilAPnD_xAgKu,,Alpine
BST301TT,AVpgjaudilAPnD_xuDKC,Belkin,Belkin
P7,AVpiAzN7ilAPnD_x_wOJ,,Bowers & Wilkins
V700NXTWHT,AVpfnuDailAPnD_xfKZY,JBL,JBL
CLARITY-SR-200,AVpi-P111cnluZ0-SVqq,Allround Software,CLARITY-TELECOM
EM-DH003-PS,AVpg8GjjLJeJML43Uplr,,House of Marley
TY-ASW91,AV2Zps11GV-KLJ3al16A,,Toshiba
41IK5BT2V2,AVpe5iL11cnluZ0-ZVzB,,Kicker
PRIME CENTER - BLACK ASH,AVpe9BGF1cnluZ0-annA,,SVS
WD20EFRX,AVpfVI9wilAPnD_xZxH-,,WD
